,title,studio,domestic_gross,year,production_budget,tconst,runtime_minutes,genres,averagerating,numvotes,profit,roi
0,Toy Story 3,BV,415000000.0,2010,,tt0435761,103.0,"Adventure,Animation,Comedy",8.3,682218,,
1,Inception,WB,292600000.0,2010,,tt1375666,148.0,"Action,Adventure,Sci-Fi",8.8,1841066,,
2,Shrek Forever After,P/DW,238700000.0,2010,,tt0892791,93.0,"Adventure,Animation,Comedy",6.3,167532,,
3,The Twilight Saga: Eclipse,Sum.,300500000.0,2010,,tt1325004,124.0,"Adventure,Drama,Fantasy",5.0,211733,,
4,Iron Man 2,Par.,312400000.0,2010,,tt1228705,124.0,"Action,Adventure,Sci-Fi",7.0,657690,,
5,Iron Man 2,,312433331.0,2010,170000000.0,tt1228705,124.0,"Action,Adventure,Sci-Fi",7.0,657690,142433331.0,83.78431235294119
6,Tangled,BV,200800000.0,2010,,tt0398286,100.0,"Adventure,Animation,Comedy",7.8,366366,,
7,Despicable Me,Uni.,251500000.0,2010,,tt1323594,95.0,"Animation,Comedy,Family",7.7,464511,,
8,Despicable Me,,251513985.0,2010,69000000.0,tt1323594,95.0,"Animation,Comedy,Family",7.7,464511,182513985.0,264.51302173913047
9,How to Train Your Dragon,P/DW,217600000.0,2010,,tt0892769,98.0,"Action,Adventure,Animation",8.1,611299,,
10,The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox,104400000.0,2010,,tt0980970,113.0,"Adventure,Family,Fantasy",6.3,129663,,
11,The King's Speech,Wein.,135500000.0,2010,,tt1504320,118.0,"Biography,Drama,History",8.0,593629,,
12,The Karate Kid,Sony,176600000.0,2010,,tt1155076,140.0,"Action,Drama,Family",6.2,146401,,
13,Prince of Persia: The Sands of Time,BV,90800000.0,2010,,tt0473075,116.0,"Action,Adventure,Fantasy",6.6,254975,,
14,Black Swan,FoxS,107000000.0,2010,,tt0947798,108.0,"Drama,Thriller",8.0,648854,,
15,Black Swan,,106954678.0,2010,13000000.0,tt0947798,108.0,"Drama,Thriller",8.0,648854,93954678.0,722.7282923076923
16,Megamind,P/DW,148400000.0,2010,,tt1001526,95.0,"Action,Animation,Comedy",7.3,207488,,
17,Megamind,,148415853.0,2010,130000000.0,tt1001526,95.0,"Action,Animation,Comedy",7.3,207488,18415853.0,14.16604076923077
18,Robin Hood,Uni.,105300000.0,2010,,tt0955308,140.0,"Action,Adventure,Drama",6.6,239480,,
19,The Last Airbender,Par.,131800000.0,2010,,tt0938283,103.0,"Action,Adventure,Family",4.1,137734,,
20,The Last Airbender,,131772187.0,2010,150000000.0,tt0938283,103.0,"Action,Adventure,Family",4.1,137734,-18227813.0,-12.151875333333333
21,Little Fockers,Uni.,148400000.0,2010,,tt0970866,98.0,"Comedy,Romance",5.5,99222,,
22,Resident Evil: Afterlife,SGem,60100000.0,2010,,tt1220634,96.0,"Action,Adventure,Horror",5.9,153270,,
23,Shutter Island,Par.,128000000.0,2010,,tt1130884,138.0,"Mystery,Thriller",8.1,1005960,,
24,Salt,Sony,118300000.0,2010,,tt0944835,100.0,"Action,Mystery,Thriller",6.4,277204,,
25,Sex and the City 2,WB (NL),95300000.0,2010,,tt1261945,146.0,"Comedy,Drama,Romance",4.4,69199,,
26,The Tourist,Sony,67600000.0,2010,,tt1243957,103.0,"Action,Adventure,Thriller",6.0,206714,,
27,The Expendables,LGF,103100000.0,2010,,tt1320253,103.0,"Action,Adventure,Thriller",6.5,307897,,
28,Grown Ups,Sony,162000000.0,2010,,tt1375670,102.0,Comedy,6.0,210377,,
29,True Grit,Par.,171200000.0,2010,,tt1403865,110.0,"Adventure,Drama,Western",7.6,284034,,
30,Gulliver's Travels,Fox,42800000.0,2010,,tt1320261,85.0,"Adventure,Comedy,Family",4.9,61178,,
31,The Social Network,Sony,97000000.0,2010,,tt1285016,120.0,"Biography,Drama",7.7,568578,,
32,The Social Network,,96962694.0,2010,40000000.0,tt1285016,120.0,"Biography,Drama",7.7,568578,56962694.0,142.406735
33,Valentine's Day,WB (NL),110500000.0,2010,,tt0817230,125.0,"Comedy,Romance",5.7,107171,,
34,The Sorcerer's Apprentice,BV,63200000.0,2010,,tt0963966,109.0,"Action,Adventure,Family",6.1,143862,,
35,Due Date,WB,100500000.0,2010,,tt1231583,95.0,"Adventure,Comedy",6.5,303523,,
36,Due Date,,100539043.0,2010,65000000.0,tt1231583,95.0,"Adventure,Comedy",6.5,303523,35539043.0,54.67545076923077
37,Eat Pray Love,Sony,80600000.0,2010,,tt0879870,133.0,"Drama,Romance",5.8,77709,,
38,Yogi Bear,WB,100200000.0,2010,,tt1302067,80.0,"Adventure,Animation,Comedy",4.6,18934,,
39,Paranormal Activity 2,Par.,84800000.0,2010,,tt1536044,91.0,Horror,5.7,93122,,
40,The A-Team,Fox,77200000.0,2010,,tt0429493,117.0,"Action,Adventure,Thriller",6.8,235256,,
41,The Other Guys,Sony,119200000.0,2010,,tt1386588,107.0,"Action,Comedy,Crime",6.7,221664,,
42,The Other Guys,,119219978.0,2010,100000000.0,tt1386588,107.0,"Action,Comedy,Crime",6.7,221664,19219978.0,19.219977999999998
43,Unstoppable,Fox,81600000.0,2010,,tt0477080,98.0,"Action,Thriller",6.8,173019,,
44,The Book of Eli,WB,94800000.0,2010,,tt1037705,118.0,"Action,Adventure,Drama",6.9,271307,,
45,The Town,WB,92200000.0,2010,,tt0840361,125.0,"Crime,Drama,Thriller",7.6,322524,,
46,Date Night,Fox,98700000.0,2010,,tt1279935,88.0,"Comedy,Crime,Romance",6.3,144683,,
47,Date Night,,98711404.0,2010,55000000.0,tt1279935,88.0,"Comedy,Crime,Romance",6.3,144683,43711404.0,79.47528
48,Legend of the Guardians: The Owls of Ga'Hoole,WB,55700000.0,2010,,tt1219342,97.0,"Action,Adventure,Animation",7.0,73790,,
49,The Wolfman,Uni.,62000000.0,2010,,tt0780653,103.0,"Drama,Fantasy,Horror",5.8,97873,,
50,The Bounty Hunter,Sony,67099999.0,2010,,tt1038919,110.0,"Action,Comedy,Romance",5.6,112444,,
51,The Bounty Hunter,Sony,67099999.0,2010,,tt1472211,,,6.3,29,,
52,Wall Street: Money Never Sleeps,Fox,52500000.0,2010,,tt1027718,133.0,Drama,6.2,93486,,
53,The Fighter,Par.,93600000.0,2010,,tt0964517,116.0,"Biography,Drama,Sport",7.8,316539,,
54,Predators,Fox,52000000.0,2010,,tt1424381,107.0,"Action,Adventure,Sci-Fi",6.4,199764,,
55,Predators,,52000688.0,2010,40000000.0,tt1424381,107.0,"Action,Adventure,Sci-Fi",6.4,199764,12000688.0,30.00172
56,Dear John,SGem,80000000.0,2010,,tt0989757,108.0,"Drama,Romance,War",6.3,128657,,
57,Dear John,,80014842.0,2010,25000000.0,tt0989757,108.0,"Drama,Romance,War",6.3,128657,55014842.0,220.05936799999998
58,Cats & Dogs: The Revenge of Kitty Galore,WB,43600000.0,2010,,tt1287468,82.0,"Action,Comedy,Family",4.3,12642,,
59,Tooth Fairy,Fox,60000000.0,2010,,tt0808510,101.0,"Comedy,Family,Fantasy",5.0,37939,,
60,Life as We Know It,WB,53400000.0,2010,,tt1055292,114.0,"Comedy,Drama,Romance",6.6,113077,,
61,Life as We Know It,,53374681.0,2010,38000000.0,tt1055292,114.0,"Comedy,Drama,Romance",6.6,113077,15374681.0,40.45968684210526
62,Hereafter,WB,32700000.0,2010,,tt1212419,129.0,"Drama,Fantasy,Romance",6.5,87288,,
63,Killers,LGF,47100000.0,2010,,tt1103153,100.0,"Action,Comedy,Romance",5.4,82237,,
64,Killers,,47059963.0,2010,75000000.0,tt1103153,100.0,"Action,Comedy,Romance",5.4,82237,-27940037.0,-37.25338266666667
65,Kick-Ass,LGF,48100000.0,2010,,tt1250777,117.0,"Action,Comedy",7.6,497363,,
66,Green Zone,Uni.,35100000.0,2010,,tt0947810,115.0,"Action,Drama,Thriller",6.8,122132,,
67,Nanny McPhee Returns,Uni.,29000000.0,2010,,tt1415283,109.0,"Comedy,Family,Fantasy",6.1,25048,,
68,Get Him to the Greek,Uni.,61000000.0,2010,,tt1226229,109.0,"Adventure,Comedy,Music",6.4,161653,,
69,Get Him to the Greek,,61153526.0,2010,40000000.0,tt1226229,109.0,"Adventure,Comedy,Music",6.4,161653,21153526.0,52.883815
70,Burlesque,SGem,39400000.0,2010,,tt1126591,119.0,"Drama,Music,Musical",6.4,71021,,
71,Burlesque,SGem,39400000.0,2010,,tt1586713,,Drama,7.0,45,,
72,The Last Song,BV,63000000.0,2010,,tt1294226,107.0,"Drama,Music,Romance",6.0,74914,,
73,Dinner for Schmucks,P/DW,73000000.0,2010,,tt0427152,114.0,Comedy,5.9,91546,,
74,Marmaduke,Fox,33600000.0,2010,,tt1392197,87.0,"Comedy,Family",4.2,13283,,
75,Marmaduke,,33644788.0,2010,50000000.0,tt1392197,87.0,"Comedy,Family",4.2,13283,-16355212.0,-32.710423999999996
76,Piranha 3D,W/Dim.,25000000.0,2010,,tt0464154,88.0,"Comedy,Horror",5.4,81327,,
77,Edge of Darkness,WB,43300000.0,2010,,tt1226273,117.0,"Crime,Drama,Mystery",6.6,84753,,
78,Vampires Suck,Fox,36700000.0,2010,,tt1666186,82.0,Comedy,3.4,43984,,
79,Letters to Juliet,Sum.,53000000.0,2010,,tt0892318,105.0,"Adventure,Comedy,Drama",6.6,86137,,
80,Diary of a Wimpy Kid,Fox,64000000.0,2010,,tt1196141,94.0,"Comedy,Drama,Family",6.2,38640,,
81,Easy A,SGem,58400000.0,2010,,tt1282140,92.0,"Comedy,Drama,Romance",7.1,330125,,
82,Takers,SGem,57700000.0,2010,,tt1135084,107.0,"Action,Crime,Thriller",6.2,53377,,
83,The American,Focus,35600000.0,2010,,tt1440728,105.0,"Crime,Drama,Thriller",6.3,86863,,
84,The American,,35606376.0,2010,20000000.0,tt1440728,105.0,"Crime,Drama,Thriller",6.3,86863,15606376.0,78.03188
85,The Last Exorcism,LGF,41000000.0,2010,,tt1320244,87.0,"Drama,Horror,Thriller",5.6,45815,,
86,The Next Three Days,LGF,21100000.0,2010,,tt1458175,133.0,"Action,Crime,Drama",7.4,168066,,
87,Skyline,Uni.,21400000.0,2010,,tt1564585,92.0,"Action,Sci-Fi,Thriller",4.4,83710,,
88,Hot Tub Time Machine,MGM,50300000.0,2010,,tt1231587,101.0,"Comedy,Sci-Fi",6.4,153962,,
89,Devil,Uni.,33600000.0,2010,,tt1314655,80.0,"Horror,Mystery,Thriller",6.2,122080,,
90,127 Hours,FoxS,18300000.0,2010,,tt1542344,94.0,"Adventure,Biography,Drama",7.6,323949,,
91,127 Hours,,18335230.0,2010,18000000.0,tt1542344,94.0,"Adventure,Biography,Drama",7.6,323949,335230.0,1.8623888888888889
92,Secretariat,BV,59700000.0,2010,,tt1028576,123.0,"Biography,Drama,Family",7.2,24536,,
93,Secretariat,,59699513.0,2010,35000000.0,tt1028576,123.0,"Biography,Drama,Family",7.2,24536,24699513.0,70.57003714285715
94,The Ghost Writer,Sum.,15500000.0,2010,,tt1139328,128.0,"Drama,Mystery,Thriller",7.2,148274,,
95,Morning Glory,Par.,31000000.0,2010,,tt1126618,107.0,"Comedy,Drama,Romance",6.5,67367,,
96,Remember Me,Sum.,19100000.0,2010,,tt1403981,113.0,"Drama,Romance",7.1,129443,,
97,Cop Out,WB,44900000.0,2010,,tt1385867,107.0,"Action,Comedy,Crime",5.6,81656,,
98,The Crazies,Over.,39100000.0,2010,,tt0455407,101.0,"Horror,Thriller",6.5,104465,,
99,From Paris with Love,LGF,24100000.0,2010,,tt1179034,92.0,"Action,Crime,Thriller",6.5,107079,,
100,Alpha and Omega,LGF,25100000.0,2010,,tt1213012,90.0,"Adventure,Animation,Comedy",5.3,12463,,
101,The Switch,Mira.,27800000.0,2010,,tt0889573,101.0,"Comedy,Drama,Romance",6.1,90661,,
102,She's Out of My League,Par.,32000000.0,2010,,tt0815236,104.0,"Comedy,Romance",6.4,117245,,
103,How Do You Know,Sony,30200000.0,2010,,tt1341188,121.0,"Comedy,Drama,Romance",5.4,41072,,
104,Charlie St. Cloud,Uni.,31200000.0,2010,,tt1438254,99.0,"Drama,Fantasy,Romance",6.5,55016,,
105,Scott Pilgrim vs. the World,Uni.,31500000.0,2010,,tt0446029,112.0,"Action,Comedy,Fantasy",7.5,339338,,
106,Heartbreaker,IFC,504000.0,2010,,tt1465487,105.0,"Comedy,Romance",6.8,23995,,
107,The Spy Next Door,LGF,24300000.0,2010,,tt1273678,94.0,"Action,Comedy,Family",5.5,36767,,
108,Machete,Fox,26600000.0,2010,,tt0985694,105.0,"Action,Crime,Thriller",6.6,182320,,
109,Machete,,26593646.0,2010,12500000.0,tt0985694,105.0,"Action,Crime,Thriller",6.6,182320,14093646.0,112.74916800000001
110,When in Rome,BV,32700000.0,2010,,tt1185416,91.0,"Comedy,Romance",5.6,57396,,
111,Going the Distance,WB (NL),17800000.0,2010,,tt1322312,102.0,"Comedy,Romance",6.3,54421,,
112,Going the Distance,,17804299.0,2010,32000000.0,tt1322312,102.0,"Comedy,Romance",6.3,54421,-14195701.0,-44.361565625
113,For Colored Girls,LGF,37700000.0,2010,,tt1405500,133.0,Drama,6.1,6728,,
114,For Colored Girls,,37729698.0,2010,21000000.0,tt1405500,133.0,Drama,6.1,6728,16729698.0,79.66522857142857
115,Furry Vengeance,Sum.,17600000.0,2010,,tt0492389,92.0,"Comedy,Family",3.8,14700,,
116,Faster,CBS,23200000.0,2010,,tt1433108,98.0,"Action,Crime,Drama",6.5,93618,,
117,The Kids Are All Right,Focus,20800000.0,2010,,tt0842926,106.0,"Comedy,Drama,Romance",7.0,120656,,
118,The Kids Are All Right,,20811365.0,2010,4000000.0,tt0842926,106.0,"Comedy,Drama,Romance",7.0,120656,16811365.0,420.28412499999996
119,You Will Meet a Tall Dark Stranger,SPC,3200000.0,2010,,tt1182350,98.0,"Comedy,Drama,Romance",6.3,41608,,
120,Leap Year,Uni.,25900000.0,2010,,tt1216492,100.0,"Comedy,Romance",6.5,86125,,
121,Leap Year,Uni.,25900000.0,2010,,tt1537401,94.0,"Drama,Romance",5.9,2211,,
122,Leap Year,,25918920.0,2010,19000000.0,tt1216492,100.0,"Comedy,Romance",6.5,86125,6918920.0,36.41536842105263
123,Leap Year,,25918920.0,2010,19000000.0,tt1537401,94.0,"Drama,Romance",5.9,2211,6918920.0,36.41536842105263
124,You Again,BV,25700000.0,2010,,tt1414382,105.0,"Comedy,Family,Romance",5.8,46690,,
125,The Losers,WB,23600000.0,2010,,tt0480255,97.0,"Action,Adventure,Crime",6.4,83876,,
126,Ramona and Beezus,Fox,26200000.0,2010,,tt0493949,103.0,"Adventure,Comedy,Family",6.6,16086,,
127,Let Me In,Over.,12100000.0,2010,,tt1228987,116.0,"Drama,Fantasy,Horror",7.1,107012,,
128,Let Me In,,12134935.0,2010,20000000.0,tt1228987,116.0,"Drama,Fantasy,Horror",7.1,107012,-7865065.0,-39.325325
129,Just Wright,FoxS,21500000.0,2010,,tt1407061,100.0,"Comedy,Romance,Sport",5.9,12466,,
130,Our Family Wedding,FoxS,20300000.0,2010,,tt1305583,103.0,"Comedy,Romance",4.9,6417,,
131,My Soul to Take,Uni.,14700000.0,2010,,tt0872230,107.0,"Horror,Mystery,Thriller",4.8,18381,,
132,My Soul to Take,,14744435.0,2010,25000000.0,tt0872230,107.0,"Horror,Mystery,Thriller",4.8,18381,-10255565.0,-41.02226
133,Country Strong,SGem,20200000.0,2010,,tt1555064,117.0,"Drama,Music",6.3,16296,,
134,Another Year,SPC,3200000.0,2010,,tt1431181,129.0,"Comedy,Drama",7.3,26273,,
135,Buried,LGF,1000000.0,2010,,tt1462758,95.0,"Drama,Mystery,Thriller",7.0,139426,,
136,Repo Men,Uni.,13800000.0,2010,,tt1053424,111.0,"Action,Crime,Sci-Fi",6.3,96144,,
137,The Nutcracker in 3D,Free,195000.0,2010,,tt1041804,110.0,"Action,Family,Fantasy",4.3,3119,,
138,Sea Rex 3D: Journey to a Prehistoric World,3D,6100000.0,2010,,tt1529567,41.0,Documentary,6.9,364,,
139,I Hate Luv Storys,UTV,848000.0,2010,,tt1667838,129.0,"Comedy,Drama,Romance",5.7,6921,,
140,Extraordinary Measures,CBS,12100000.0,2010,,tt1244659,106.0,Drama,6.5,15673,,
141,Somewhere,Focus,1800000.0,2010,,tt1421051,97.0,"Comedy,Drama",6.3,40250,,
142,Winter's Bone,RAtt.,6500000.0,2010,,tt1399683,100.0,"Drama,Mystery",7.2,127751,,
143,Raajneeti,UTV,1500000.0,2010,,tt1291465,163.0,"Crime,Drama",7.2,15214,,
144,Made in Dagenham,SPC,1100000.0,2010,,tt1371155,113.0,"Biography,Comedy,Drama",7.2,13121,,
145,Blue Valentine,Wein.,9700000.0,2010,,tt1120985,112.0,"Drama,Romance",7.4,170089,,
146,Tamara Drewe,SPC,560000.0,2010,,tt1486190,107.0,"Comedy,Drama,Romance",6.2,19362,,
147,The Warrior's Way,Rela.,5700000.0,2010,,tt1032751,100.0,"Action,Fantasy,Western",6.3,24271,,
148,The Warrior's Way,,5666340.0,2010,42000000.0,tt1032751,100.0,"Action,Fantasy,Western",6.3,24271,-36333660.0,-86.50871428571428
149,Jonah Hex,WB,10500000.0,2010,,tt1075747,81.0,"Action,Drama,Fantasy",4.7,51860,,
150,Cyrus,FoxS,7500000.0,2010,,tt1327709,87.0,"Crime,Horror,Mystery",4.7,944,,
151,Cyrus,FoxS,7500000.0,2010,,tt1336617,91.0,"Comedy,Drama,Romance",6.3,32457,,
152,Conviction,FoxS,6800000.0,2010,,tt1244754,107.0,"Biography,Crime,Drama",7.2,39771,,
153,Babies,Focus,7300000.0,2010,,tt1020938,79.0,Documentary,7.1,6672,,
154,Stone,Over.,1800000.0,2010,,tt1423995,105.0,"Drama,Thriller",5.4,38667,,
155,Stone,,1810078.0,2010,22000000.0,tt1423995,105.0,"Drama,Thriller",5.4,38667,-20189922.0,-91.77237272727272
156,Never Let Me Go,FoxS,2400000.0,2010,,tt1334260,103.0,"Drama,Romance,Sci-Fi",7.1,130084,,
157,MacGruber,Uni.,8500000.0,2010,,tt1470023,90.0,"Action,Comedy,Romance",5.5,39782,,
158,Inside Job,SPC,4300000.0,2010,,tt1645089,109.0,"Crime,Documentary",8.3,65304,,
159,Inside Job,,4311834.0,2010,2000000.0,tt1645089,109.0,"Crime,Documentary",8.3,65304,2311834.0,115.5917
160,Centurion,Magn.,124000.0,2010,,tt1020558,97.0,"Action,Adventure,Drama",6.4,74085,,
161,Animal Kingdom,SPC,1000000.0,2010,,tt1313092,113.0,"Crime,Drama",7.3,51576,,
162,It's Kind of a Funny Story,Focus,6400000.0,2010,,tt0804497,101.0,"Comedy,Drama,Romance",7.1,125583,,
163,It's Kind of a Funny Story,,6363628.0,2010,8000000.0,tt0804497,101.0,"Comedy,Drama,Romance",7.1,125583,-1636372.0,-20.45465
164,Greenberg,Focus,4200000.0,2010,,tt1234654,107.0,"Comedy,Drama,Romance",6.1,33702,,
165,Exit Through the Gift Shop,PDA,3300000.0,2010,,tt1587707,87.0,"Comedy,Crime,Documentary",8.0,58721,,
166,Rabbit Hole,LGF,2200000.0,2010,,tt0935075,91.0,Drama,7.0,45357,,
167,The Runaways,App.,3600000.0,2010,,tt1017451,106.0,"Biography,Drama,Music",6.6,43792,,
168,Four Lions,Drft.,305000.0,2010,,tt1341167,97.0,"Comedy,Crime,Drama",7.3,66209,,
169,Four Lions,,310007.0,2010,3750000.0,tt1341167,97.0,"Comedy,Crime,Drama",7.3,66209,-3439993.0,-91.73314666666667
170,Please Give,SPC,4000000.0,2010,,tt0878835,87.0,"Comedy,Drama",6.6,10652,,
171,Monsters,Magn.,237000.0,2010,,tt1470827,94.0,"Drama,Sci-Fi,Thriller",6.4,84332,,
172,Rare Exports: A Christmas Tale,Osci.,236000.0,2010,,tt1401143,84.0,"Adventure,Fantasy,Horror",6.7,23923,,
173,The Killer Inside Me,IFC,217000.0,2010,,tt0954947,109.0,"Crime,Drama,Horror",6.1,31727,,
174,Catfish,Rog.,3200000.0,2010,,tt1584016,87.0,"Documentary,Drama,Mystery",7.1,38656,,
175,Wild Target,Free,109000.0,2010,,tt1235189,98.0,"Action,Comedy,Crime",6.8,33915,,
176,Kites,Relbig.,1600000.0,2010,,tt1198101,123.0,"Action,Drama,Romance",6.1,11353,,
177,Letters to God,Viv.,2800000.0,2010,,tt1462054,110.0,"Drama,Family",6.3,4443,,
178,Letters to God,,2848587.0,2010,3000000.0,tt1462054,110.0,"Drama,Family",6.3,4443,-151413.0,-5.0471
179,Twelve,Hann.,184000.0,2010,,tt1407084,93.0,"Action,Crime,Drama",5.7,11533,,
180,Tees Maar Khan,UTV,1100000.0,2010,,tt1572311,135.0,"Comedy,Crime",2.6,10122,,
181,Housefull,Eros,1200000.0,2010,,tt1573072,144.0,Comedy,5.5,11089,,
182,Golmaal 3,Eros,1100000.0,2010,,tt1562859,155.0,"Action,Comedy",5.4,6616,,
183,Flipped,WB,1800000.0,2010,,tt0817177,90.0,"Comedy,Drama,Romance",7.7,74937,,
184,Flipped,,1755212.0,2010,14000000.0,tt0817177,90.0,"Comedy,Drama,Romance",7.7,74937,-12244788.0,-87.46277142857143
185,Guzaarish,UTV,1000000.0,2010,,tt1438298,126.0,Drama,7.5,15402,,
186,Anjaana Anjaani,Eros,855000.0,2010,,tt1499201,151.0,"Comedy,Drama,Musical",5.8,5533,,
187,Restrepo,NGE,1300000.0,2010,,tt1559549,93.0,"Documentary,War",7.5,20691,,
188,Raavan,Relbig.,709000.0,2010,,tt1334470,130.0,"Action,Adventure,Crime",5.4,3847,,
189,It's a Wonderful Afterlife,UTV,,2010,,tt1319716,100.0,"Comedy,Drama,Fantasy",5.4,1361,,
190,It's a Wonderful Afterlife,,0.0,2010,10000000.0,tt1319716,100.0,"Comedy,Drama,Fantasy",5.4,1361,-10000000.0,-100.0
191,Howl,Osci.,617000.0,2010,,tt1049402,84.0,"Biography,Drama,Romance",6.8,12096,,
192,Casino Jack,ATO,1000000.0,2010,,tt1194417,108.0,"Biography,Comedy,Crime",6.2,16191,,
193,Khatta Meetha,Eros,542000.0,2010,,tt1455811,157.0,"Comedy,Crime,Drama",5.8,8448,,
194,We Are Family,UTV,638000.0,2010,,tt1428459,115.0,"Drama,Family",5.6,2614,,
195,Break Ke Baad,Relbig.,428000.0,2010,,tt1578261,118.0,"Comedy,Drama,Romance",5.2,3651,,
196,No Problem,Eros,285000.0,2010,,tt1431122,139.0,"Action,Comedy,Crime",4.2,1880,,
197,All Good Things,Magn.,582000.0,2010,,tt1175709,101.0,"Crime,Drama,Mystery",6.3,49684,,
198,All Good Things,,582024.0,2010,20000000.0,tt1175709,101.0,"Crime,Drama,Mystery",6.3,49684,-19417976.0,-97.08988
199,Jack Goes Boating,Over.,542000.0,2010,,tt1278379,91.0,"Drama,Romance",6.4,7644,,
200,Holy Rollers,FInd.,303000.0,2010,,tt1143896,89.0,"Biography,Crime,Drama",5.9,4664,,
201,I Spit on Your Grave,Anch.,93100.0,2010,,tt1242432,108.0,"Horror,Thriller",6.3,68592,,
202,I Spit on Your Grave,,93051.0,2010,1750000.0,tt1242432,108.0,"Horror,Thriller",6.3,68592,-1656949.0,-94.6828
203,I'm Still Here,Magn.,409000.0,2010,,tt1356864,108.0,"Comedy,Drama,Music",6.2,18606,,
204,I'm Still Here,Magn.,409000.0,2010,,tt1701997,60.0,,7.1,14,,
205,The Extra Man,Magn.,453000.0,2010,,tt1361313,108.0,Comedy,5.9,4580,,
206,Tiny Furniture,IFC,392000.0,2010,,tt1570989,98.0,"Comedy,Drama,Romance",6.2,13397,,
207,The Tempest,Mira.,278000.0,2010,,tt1274300,110.0,"Comedy,Drama,Fantasy",5.4,7073,,
208,The Tempest,Mira.,278000.0,2010,,tt1683003,131.0,Drama,7.8,94,,
209,Red Hill,Strand,21100.0,2010,,tt1530983,95.0,"Thriller,Western",6.4,7874,,
210,Welcome to the Rileys,Gold.,159000.0,2010,,tt1183923,110.0,Drama,7.0,22210,,
211,Karthik Calling Karthik,Eros,286000.0,2010,,tt1373156,135.0,"Drama,Mystery,Thriller",7.0,9257,,
212,Eyes Wide Open,NAV,26300.0,2010,,tt1692325,110.0,"Documentary,History",8.7,17,,
213,Waste Land,Arth.,188000.0,2010,,tt1268204,99.0,Documentary,7.9,8007,,
214,Chance Pe Dance,UTV,169000.0,2010,,tt1392744,122.0,"Comedy,Drama,Musical",4.7,2501,,
215,Client 9: The Rise and Fall of Eliot Spitzer,Magn.,189000.0,2010,,tt1638362,117.0,Documentary,7.4,2097,,
216,Casino Jack and the United States of Money,Magn.,177000.0,2010,,tt1540814,118.0,Documentary,7.1,1522,,
217,The Romantics,FOAK,107000.0,2010,,tt1403988,95.0,"Comedy,Drama,Romance",5.1,11069,,
218,Celine: Through the Eyes of the World,Sony,,2010,,tt1570982,120.0,"Documentary,Music",7.9,349,,
219,Freakonomics,Magn.,101000.0,2010,,tt1152822,93.0,Documentary,6.4,6466,,
220,Freakonomics,,101270.0,2010,2900000.0,tt1152822,93.0,Documentary,6.4,6466,-2798730.0,-96.50793103448277
221,Band Baaja Baaraat,Yash,43800.0,2010,,tt1610452,139.0,"Comedy,Drama,Romance",7.2,13832,,
222,White Lion,Scre.,,2010,,tt1618421,88.0,"Drama,Family",6.7,828,,
223,As Good as Dead,First,2000.0,2010,,tt1294136,100.0,"Crime,Thriller",5.2,1441,,
224,Inhale,IFC,4100.0,2010,,tt1196340,83.0,"Drama,Thriller",6.6,6006,,
225,GasLand,WOW,30800.0,2010,,tt1558250,107.0,Documentary,7.7,9940,,
226,The Taqwacores,Strand,11400.0,2010,,tt1308165,83.0,"Drama,Music",6.1,506,,
227,Cherry,Abr.,11400.0,2010,,tt1315350,99.0,"Comedy,Drama",6.8,4158,,
228,Transformers: Dark of the Moon,P/DW,352400000.0,2011,,tt1399103,154.0,"Action,Adventure,Sci-Fi",6.2,366409,,
229,Pirates of the Caribbean: On Stranger Tides,BV,241100000.0,2011,,tt1298650,136.0,"Action,Adventure,Fantasy",6.6,447624,,
230,Mission: Impossible - Ghost Protocol,Par.,209400000.0,2011,,tt1229238,132.0,"Action,Adventure,Thriller",7.4,428142,,
231,Kung Fu Panda 2,P/DW,165200000.0,2011,,tt1302011,90.0,"Action,Adventure,Animation",7.2,228465,,
232,Fast Five,Uni.,209800000.0,2011,,tt1596343,130.0,"Action,Crime,Thriller",7.3,329892,,
233,The Hangover Part II,WB,254500000.0,2011,,tt1411697,102.0,"Comedy,Mystery",6.5,432800,,
234,The Smurfs,Sony,142600000.0,2011,,tt0472181,103.0,"Adventure,Animation,Comedy",5.5,77577,,
235,Cars 2,BV,191500000.0,2011,,tt1216475,106.0,"Adventure,Animation,Comedy",6.2,138914,,
236,Puss in Boots,P/DW,149300000.0,2011,,tt0448694,90.0,"Action,Adventure,Animation",6.6,133355,,
237,Sherlock Holmes: A Game of Shadows,WB,186800000.0,2011,,tt1515091,129.0,"Action,Adventure,Crime",7.5,394189,,
238,Rio,Fox,143600000.0,2011,,tt1436562,96.0,"Adventure,Animation,Comedy",6.9,191621,,
239,Rise of the Planet of the Apes,Fox,176800000.0,2011,,tt1318514,105.0,"Action,Drama,Sci-Fi",7.6,473020,,
240,Rise of the Planet of the Apes,,176760185.0,2011,93000000.0,tt1318514,105.0,"Action,Drama,Sci-Fi",7.6,473020,83760185.0,90.06471505376345
241,Thor,Par.,181000000.0,2011,,tt0800369,115.0,"Action,Adventure,Fantasy",7.0,683264,,
242,Thor,,181030624.0,2011,150000000.0,tt0800369,115.0,"Action,Adventure,Fantasy",7.0,683264,31030624.0,20.68708266666667
243,The Adventures of Tintin,Par.,77600000.0,2011,,tt0983193,107.0,"Action,Adventure,Animation",7.3,202430,,
