,index,title,production_budget,domestic_gross,worldwide_gross,year,studio,runtime_minutes,genres,averagerating,numvotes,profit,roi
55,5189,Godâs Not Dead,1150000.0,60755732.0,63777092, 2014,,,,,,62627092.0,5445.834086956522
56,4424,Four Weddings and a Funeral,4500000.0,52700832.0,242895809,1994,,,,,,238395809.0,5297.6846444444445
57,5752,Slacker,23000.0,1227508.0,1227508,1991,,,,,,1204508.0,5236.991304347826
58,5215,An Inconvenient Truth,1000000.0,24146161.0,53365925, 2006,,,,,,52365925.0,5236.5925
59,5682,Hollywood Shuffle,100000.0,5228617.0,5228617,1987,,,,,,5128617.0,5128.617
60,4248,Get Out,5000000.0,176040665.0,255367951, 2017,,,,,,250367951.0,5007.35902
61,5666,Roger & Me,140000.0,6706368.0,6706368, 1989,,,,,,6566368.0,4690.262857142857
62,4663,National Lampoon's Animal House,3000000.0,141600000.0,141600000, 1978,,,,,,138600000.0,4620.0
63,5716,Gabriela,50000.0,2335352.0,2335352, 2001,,,,,,2285352.0,4570.704
64,4800,Blazing Saddles,2600000.0,119500000.0,119500000,1974,,,,,,116900000.0,4496.153846153846
65,3517,Les Intouchables,10800000.0,13182281.0,484873045, 2012,,,,,,474073045.0,4389.5652314814815
66,5063,Moonlight,1500000.0,27854931.0,65245512, 2016,,,,,,63745512.0,4249.7008000000005
67,5217,Chernobyl Diaries,1000000.0,18119640.0,42411721, 2012,,,,,,41411721.0,4141.1721
68,4667,Goldfinger,3000000.0,51100000.0,124900000, 1964,,,,,,121900000.0,4063.3333333333335
69,4250,Paranormal Activity 3,5000000.0,104028807.0,207039844, 2011,,,,,,202039844.0,4040.79688
70,5646,She's Gotta Have It,175000.0,7137502.0,7137502,1986,,,,,,6962502.0,3978.572571428571
71,4898,Das Leben der Anderen,2000000.0,11284657.0,81197047,2007,,,,,,79197047.0,3959.85235
72,5778,Following,6000.0,48482.0,240495,1999,,,,,,234495.0,3908.2500000000005
73,5614,"20,000 Leagues Under the Sea",200000.0,8000000.0,8000000, 1916,,,,,,7800000.0,3900.0
74,4083,Annabelle,6500000.0,84273813.0,256862920,2014,,,,,,250362920.0,3851.7372307692303
75,4887,From Russia With Love,2000000.0,24800000.0,78900000,1964,,,,,,76900000.0,3845.0000000000005
76,3340,Jaws,12000000.0,260000000.0,470700000, 1975,,,,,,458700000.0,3822.5
77,4634,La marche de l'empereur,3400000.0,77437223.0,133276359, 2005,,,,,,129876359.0,3819.8929117647062
